id,idLabel,genreLabel,publisherLabel,esrbLabel,idAltLabel,name
http://www.wikidata.org/entity/Q215861,S.T.A.L.K.E.R.: Shadow of Chernobyl,first-person shooter,THQ,Mature 17+,,S.T.A.L.K.E.R.: Shadow of Chernobyl
http://www.wikidata.org/entity/Q215861,S.T.A.L.K.E.R.: Shadow of Chernobyl,open world,THQ,Mature 17+,,S.T.A.L.K.E.R.: Shadow of Chernobyl
http://www.wikidata.org/entity/Q20420,Empire Earth,real-time strategy,Sierra Entertainment,Teen,,Empire Earth (video game)
http://www.wikidata.org/entity/Q20420,Empire Earth,strategy video game,Sierra Entertainment,Teen,,Empire Earth (video game)
http://www.wikidata.org/entity/Q22986,Amnesia: The Dark Descent,psychological horror,THQ,Mature 17+,"Amnesia The Dark Descent, Amnesia: Darkest Descent",Amnesia: The Dark Descent
http://www.wikidata.org/entity/Q22986,Amnesia: The Dark Descent,psychological horror,Frictional Games,Mature 17+,"Amnesia The Dark Descent, Amnesia: Darkest Descent",Amnesia: The Dark Descent
http://www.wikidata.org/entity/Q23911,Magicland Dizzy,adventure game,Codemasters,,,Magicland Dizzy
http://www.wikidata.org/entity/Q23911,Magicland Dizzy,platform game,Codemasters,,,Magicland Dizzy
http://www.wikidata.org/entity/Q23992,Gunvalkyrie,third-person shooter,Sega,Teen,"Gun valkyrie, GUNVALKYRIE",Gunvalkyrie
http://www.wikidata.org/entity/Q24071,MotorStorm: Arctic Edge,racing video game,Sony Interactive Entertainment,Teen,"Arctic edge, Motorstorm Arctic Edge, MotorStorm: Artic Edge",MotorStorm: Arctic Edge
http://www.wikidata.org/entity/Q24170,Doki! Doki! Yūenchi: Crazy Land Daisakusen,action game,VAP Inc.,,"Doki! Doki! Amusement Park, Doki! Doki! Yuuenchi: Crazy Land Daisakusen, Trolls in Crazyland",Doki! Doki! Yūenchi: Crazy Land Daisakusen
http://www.wikidata.org/entity/Q24300,InFamous 2,action-adventure game,Sony Interactive Entertainment,Teen,"inFAMOUS 2, Infamous 2",Infamous 2
http://www.wikidata.org/entity/Q24300,InFamous 2,open world,Sony Interactive Entertainment,Teen,"inFAMOUS 2, Infamous 2",Infamous 2
http://www.wikidata.org/entity/Q55608,Atic Atac,action-adventure game,Ultimate Play the Game,,,Atic Atac
http://www.wikidata.org/entity/Q55608,Atic Atac,open world,Ultimate Play the Game,,,Atic Atac
http://www.wikidata.org/entity/Q55610,Athena,platform game,SNK,,,Athena (video game)
http://www.wikidata.org/entity/Q55611,Army Moves,action game,Imagine Software,,,Army Moves
http://www.wikidata.org/entity/Q55616,Battlezone,simulation video game,"Atari, Inc.",,,Battlezone (1980 video game)
http://www.wikidata.org/entity/Q55616,Battlezone,vehicular combat game,"Atari, Inc.",,,Battlezone (1980 video game)
http://www.wikidata.org/entity/Q55620,Bionic Commando,platform game,Capcom,,Top Secret,Bionic Commando (1987 video game)
http://www.wikidata.org/entity/Q55622,Bionic Commando,Metroidvania,Capcom,,,Bionic Commando (1988 video game)
http://www.wikidata.org/entity/Q55668,Nether Earth,strategy game,Argus Press,,,Nether Earth
http://www.wikidata.org/entity/Q55670,Quazatron,action game,Hewson Consultants,,,Quazatron
http://www.wikidata.org/entity/Q55673,R-Type,shoot 'em up,Irem,,,R-Type
http://www.wikidata.org/entity/Q55675,The Trap Door,action-adventure game,Macmillan Publishers,,,The Trap Door (video game)
http://www.wikidata.org/entity/Q55676,Sherlock,interactive fiction,Krome Studios Melbourne,,,Sherlock (video game)
http://www.wikidata.org/entity/Q55815,Elite,open world,Firebird Software,,,Elite (video game)
http://www.wikidata.org/entity/Q55815,Elite,space flight simulation game,Firebird Software,,,Elite (video game)
http://www.wikidata.org/entity/Q55815,Elite,space trading and combat game,Firebird Software,,,Elite (video game)
http://www.wikidata.org/entity/Q55815,Elite,open world,Acornsoft,,,Elite (video game)
http://www.wikidata.org/entity/Q55815,Elite,space flight simulation game,Acornsoft,,,Elite (video game)
http://www.wikidata.org/entity/Q55815,Elite,space trading and combat game,Acornsoft,,,Elite (video game)
http://www.wikidata.org/entity/Q55815,Elite,open world,Imagineer,,,Elite (video game)
http://www.wikidata.org/entity/Q55815,Elite,space flight simulation game,Imagineer,,,Elite (video game)
http://www.wikidata.org/entity/Q55815,Elite,space trading and combat game,Imagineer,,,Elite (video game)
http://www.wikidata.org/entity/Q55817,Alchemist,action-adventure game,Imagine Software,,,Alchemist (video game)
http://www.wikidata.org/entity/Q56879,Syobon Action,action-adventure game,,,,Syobon Action
http://www.wikidata.org/entity/Q94671,Grand Theft Auto: Vice City,action-adventure game,Rockstar Games,Mature 17+,GTA VC,Grand Theft Auto: Vice City
http://www.wikidata.org/entity/Q94671,Grand Theft Auto: Vice City,open world,Rockstar Games,Mature 17+,GTA VC,Grand Theft Auto: Vice City
http://www.wikidata.org/entity/Q94778,Grand Theft Auto: Liberty City Stories,action-adventure game,Rockstar Games,Mature 17+,"GTA LCS, GTA: LCS, GTA:LCS",Grand Theft Auto: Liberty City Stories
http://www.wikidata.org/entity/Q94778,Grand Theft Auto: Liberty City Stories,open world,Rockstar Games,Mature 17+,"GTA LCS, GTA: LCS, GTA:LCS",Grand Theft Auto: Liberty City Stories
http://www.wikidata.org/entity/Q94778,Grand Theft Auto: Liberty City Stories,video game with LGBT character,Rockstar Games,Mature 17+,"GTA LCS, GTA: LCS, GTA:LCS",Grand Theft Auto: Liberty City Stories
http://www.wikidata.org/entity/Q162028,FreeCol,turn-based strategy video game,,,,FreeCol
http://www.wikidata.org/entity/Q162562,Soul Blazer,role-playing video game,Enix,,Soul Blader,Soul Blazer
http://www.wikidata.org/entity/Q162707,Sonic & Sega All-Stars Racing,racing video game,Sega,Everyone,Sonic & SEGA All-Stars Racing,Sonic & Sega All-Stars Racing
http://www.wikidata.org/entity/Q162707,Sonic & Sega All-Stars Racing,fictional crossover,Sega,Everyone,Sonic & SEGA All-Stars Racing,Sonic & Sega All-Stars Racing
http://www.wikidata.org/entity/Q162751,Metro 2033,first-person shooter,Deep Silver,Mature 17+,,Metro 2033 (video game)
http://www.wikidata.org/entity/Q162751,Metro 2033,post-apocalyptic fiction,Deep Silver,Mature 17+,,Metro 2033 (video game)
http://www.wikidata.org/entity/Q162751,Metro 2033,survival horror,Deep Silver,Mature 17+,,Metro 2033 (video game)
http://www.wikidata.org/entity/Q162751,Metro 2033,first-person shooter,THQ,Mature 17+,,Metro 2033 (video game)
http://www.wikidata.org/entity/Q162751,Metro 2033,post-apocalyptic fiction,THQ,Mature 17+,,Metro 2033 (video game)
http://www.wikidata.org/entity/Q162751,Metro 2033,survival horror,THQ,Mature 17+,,Metro 2033 (video game)
http://www.wikidata.org/entity/Q163336,Commando Libya,shoot 'em up,,,,Commando Libya
http://www.wikidata.org/entity/Q163628,Counter-Strike,first-person shooter,Valve Corporation,Mature 17+,"CS, Counterstrike, Counter Strike, Counter-Strike 1.6, CS 1.6, CS1.6, Cstrike, Cstrike 1.6, Half-Life: Counter-Strike",Counter-Strike (video game)
http://www.wikidata.org/entity/Q163628,Counter-Strike,tactical shooter,Valve Corporation,Mature 17+,"CS, Counterstrike, Counter Strike, Counter-Strike 1.6, CS 1.6, CS1.6, Cstrike, Cstrike 1.6, Half-Life: Counter-Strike",Counter-Strike (video game)
http://www.wikidata.org/entity/Q163628,Counter-Strike,first-person shooter,Sierra Entertainment,Mature 17+,"CS, Counterstrike, Counter Strike, Counter-Strike 1.6, CS 1.6, CS1.6, Cstrike, Cstrike 1.6, Half-Life: Counter-Strike",Counter-Strike (video game)
http://www.wikidata.org/entity/Q163628,Counter-Strike,tactical shooter,Sierra Entertainment,Mature 17+,"CS, Counterstrike, Counter Strike, Counter-Strike 1.6, CS 1.6, CS1.6, Cstrike, Cstrike 1.6, Half-Life: Counter-Strike",Counter-Strike (video game)
http://www.wikidata.org/entity/Q216293,Pong,sports video game,"Atari, Inc.",,PONG,Pong
http://www.wikidata.org/entity/Q216995,Super Mario 64,platform game,Nintendo,Kids to Adults,"Mario 64, SM64",Super Mario 64
http://www.wikidata.org/entity/Q217241,24: The Game,third-person shooter,Sony Interactive Entertainment,Mature 17+,,24: The Game
http://www.wikidata.org/entity/Q11168,Super Mario Bros.,platform game,Nintendo,Everyone,"SMB1, SMB, SMB 1, Super Mario Bros. 1, Super Mario Brothers",Super Mario Bros.
http://www.wikidata.org/entity/Q12384,Donkey Kong,platform game,Nintendo,Everyone,,Donkey Kong (video game)
http://www.wikidata.org/entity/Q12395,The Legend of Zelda,action-adventure game,Nintendo,Everyone,The Hyrule Fantasy,The Legend of Zelda (video game)
