id,idLabel,genreLabel,publisherLabel,esrbLabel,idAltLabel,name,article
http://www.wikidata.org/entity/Q1163239,The Settlers,real-time strategy,Gameloft,,,The Settlers,https://en.wikipedia.org/wiki/The_Settlers
http://www.wikidata.org/entity/Q1163239,The Settlers,city-building game,Gameloft,,,The Settlers,https://en.wikipedia.org/wiki/The_Settlers
http://www.wikidata.org/entity/Q1163239,The Settlers,real-time strategy,Ubisoft Blue Byte,,,The Settlers,https://en.wikipedia.org/wiki/The_Settlers
http://www.wikidata.org/entity/Q1163239,The Settlers,city-building game,Ubisoft Blue Byte,,,The Settlers,https://en.wikipedia.org/wiki/The_Settlers
http://www.wikidata.org/entity/Q1175414,Megami Tensei Gaiden: Last Bible,role-playing video game,,,"Another Bible, Last Bible III",Megami Tensei Gaiden: Last Bible,https://en.wikipedia.org/wiki/Megami_Tensei_Gaiden:_Last_Bible
http://www.wikidata.org/entity/Q1180862,Dead Space,third-person shooter,Electronic Arts,,,Dead Space (series),https://en.wikipedia.org/wiki/Dead_Space_(series)
http://www.wikidata.org/entity/Q1180890,Dead or Alive,fighting game,Tecmo,,"DOA, D.O.A.",Dead or Alive (franchise),https://en.wikipedia.org/wiki/Dead_or_Alive_(franchise)
http://www.wikidata.org/entity/Q204436,Sorcerous Stabber Orphen,role-playing video game,,,,Sorcerous Stabber Orphen,https://en.wikipedia.org/wiki/Sorcerous_Stabber_Orphen
http://www.wikidata.org/entity/Q204436,Sorcerous Stabber Orphen,comedy anime and manga,,,,Sorcerous Stabber Orphen,https://en.wikipedia.org/wiki/Sorcerous_Stabber_Orphen
http://www.wikidata.org/entity/Q204436,Sorcerous Stabber Orphen,action anime and manga,,,,Sorcerous Stabber Orphen,https://en.wikipedia.org/wiki/Sorcerous_Stabber_Orphen
http://www.wikidata.org/entity/Q204436,Sorcerous Stabber Orphen,fantasy anime and manga,,,,Sorcerous Stabber Orphen,https://en.wikipedia.org/wiki/Sorcerous_Stabber_Orphen
http://www.wikidata.org/entity/Q204436,Sorcerous Stabber Orphen,adventure anime and manga,,,,Sorcerous Stabber Orphen,https://en.wikipedia.org/wiki/Sorcerous_Stabber_Orphen
http://www.wikidata.org/entity/Q204533,18 Wheels of Steel,truck simulator,Akella,,,18 Wheels of Steel,https://en.wikipedia.org/wiki/18_Wheels_of_Steel
http://www.wikidata.org/entity/Q204533,18 Wheels of Steel,truck simulator,Buka Entertainment,,,18 Wheels of Steel,https://en.wikipedia.org/wiki/18_Wheels_of_Steel
http://www.wikidata.org/entity/Q209612,Suikoden,role-playing video game,,,,Suikoden,https://en.wikipedia.org/wiki/Suikoden
http://www.wikidata.org/entity/Q216572,Heroes of Might and Magic,turn-based strategy video game,Ubisoft,,,Heroes of Might and Magic,https://en.wikipedia.org/wiki/Heroes_of_Might_and_Magic
http://www.wikidata.org/entity/Q216572,Heroes of Might and Magic,speculative fiction,Ubisoft,,,Heroes of Might and Magic,https://en.wikipedia.org/wiki/Heroes_of_Might_and_Magic
http://www.wikidata.org/entity/Q216572,Heroes of Might and Magic,turn-based strategy video game,The 3DO Company,,,Heroes of Might and Magic,https://en.wikipedia.org/wiki/Heroes_of_Might_and_Magic
http://www.wikidata.org/entity/Q216572,Heroes of Might and Magic,speculative fiction,The 3DO Company,,,Heroes of Might and Magic,https://en.wikipedia.org/wiki/Heroes_of_Might_and_Magic
http://www.wikidata.org/entity/Q813266,TrackMania,racing video game,Digital Jesters,,,TrackMania,https://en.wikipedia.org/wiki/TrackMania
http://www.wikidata.org/entity/Q815739,Warcraft,massively multiplayer online role-playing game,Blizzard Entertainment,,,Warcraft,https://en.wikipedia.org/wiki/Warcraft
http://www.wikidata.org/entity/Q815739,Warcraft,real-time strategy,Blizzard Entertainment,,,Warcraft,https://en.wikipedia.org/wiki/Warcraft
http://www.wikidata.org/entity/Q815739,Warcraft,collectible card game,Blizzard Entertainment,,,Warcraft,https://en.wikipedia.org/wiki/Warcraft
http://www.wikidata.org/entity/Q816353,Bemani,,,,list of Bemani series,Bemani,https://en.wikipedia.org/wiki/Bemani
http://www.wikidata.org/entity/Q820568,Duke Nukem,,,,,Duke Nukem,https://en.wikipedia.org/wiki/Duke_Nukem
http://www.wikidata.org/entity/Q828749,RollerCoaster Tycoon,construction and management simulation,Atari,,RCT,RollerCoaster Tycoon,https://en.wikipedia.org/wiki/RollerCoaster_Tycoon
http://www.wikidata.org/entity/Q828749,RollerCoaster Tycoon,construction and management simulation,Bandai Namco Amusement,,RCT,RollerCoaster Tycoon,https://en.wikipedia.org/wiki/RollerCoaster_Tycoon
http://www.wikidata.org/entity/Q216655,Metal Gear,stealth game,Konami,,Metal Gear Series,Metal Gear,https://en.wikipedia.org/wiki/Metal_Gear
http://www.wikidata.org/entity/Q219335,Guild Wars,massively multiplayer online role-playing game,NCsoft,,,Guild Wars,https://en.wikipedia.org/wiki/Guild_Wars
http://www.wikidata.org/entity/Q219623,Tekken,fighting game,Bandai Namco Amusement,,Iron First,Tekken,https://en.wikipedia.org/wiki/Tekken
http://www.wikidata.org/entity/Q1383570,X,science fiction,THQ,,,X (video game series),https://en.wikipedia.org/wiki/X_(video_game_series)
http://www.wikidata.org/entity/Q1393956,Falcon,combat flight simulator,Spectrum HoloByte,,,Falcon (series),https://en.wikipedia.org/wiki/Falcon_(series)
http://www.wikidata.org/entity/Q1416204,Wipeout,racing video game,Sony Interactive Entertainment,,,Wipeout (series),https://en.wikipedia.org/wiki/Wipeout_(series)
http://www.wikidata.org/entity/Q1416338,Creatures,,,,,Creatures (video game series),https://en.wikipedia.org/wiki/Creatures_(video_game_series)
http://www.wikidata.org/entity/Q1422301,Tom Clancy’s Ghost Recon,tactical shooter,Ubisoft,,Ghost Recon,Tom Clancy's Ghost Recon,https://en.wikipedia.org/wiki/Tom_Clancy%27s_Ghost_Recon
http://www.wikidata.org/entity/Q1424182,Yetisports,,,,"Free Ride, Albatros Overload, Big Wave, Final Spit, Flamingo Drive, Icicle Climb, Jungle Swing, Orca Slap, Pingu Throw, Seal Bounce",Yetisports,https://en.wikipedia.org/wiki/Yetisports
http://www.wikidata.org/entity/Q1437617,Formula One,,,,,Formula One (video game series),https://en.wikipedia.org/wiki/Formula_One_(video_game_series)
http://www.wikidata.org/entity/Q1439892,Virtua Striker,,,,,Virtua Striker,https://en.wikipedia.org/wiki/Virtua_Striker
http://www.wikidata.org/entity/Q1455197,Vermeer,,,,,Vermeer (video game series),https://en.wikipedia.org/wiki/Vermeer_(video_game_series)
http://www.wikidata.org/entity/Q1469222,Freddi Fish,adventure game,,,,Freddi Fish,https://en.wikipedia.org/wiki/Freddi_Fish
http://www.wikidata.org/entity/Q1470005,Front Mission,tactical role-playing game,Square,,,Front Mission,https://en.wikipedia.org/wiki/Front_Mission
http://www.wikidata.org/entity/Q1470832,Tex Murphy,adventure game,,,,Tex Murphy,https://en.wikipedia.org/wiki/Tex_Murphy
http://www.wikidata.org/entity/Q1473424,Harpoon,real-time strategy,,,,Harpoon (series),https://en.wikipedia.org/wiki/Harpoon_(series)
http://www.wikidata.org/entity/Q1473424,Harpoon,computer wargame,,,,Harpoon (series),https://en.wikipedia.org/wiki/Harpoon_(series)
http://www.wikidata.org/entity/Q2501387,MechWarrior,mech simulator,"Activision Publishing, Inc.",,,MechWarrior,https://en.wikipedia.org/wiki/MechWarrior
