id,idLabel,genreLabel,publisherLabel,esrbLabel,idAltLabel,name,article
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,,,,"Grand Theft Auto 5, Grand Theft Auto Five, GTA 5, GTA V, GTA: V, GTAV, GTA: 5, GTA5",Grand Theft Auto V,https://en.wikipedia.org/wiki/Grand_Theft_Auto_V
http://www.wikidata.org/entity/Q17150,Uncharted: Drake's Fortune,,,,,Uncharted: Drake's Fortune,https://en.wikipedia.org/wiki/Uncharted:_Drake%27s_Fortune
http://www.wikidata.org/entity/Q211229,Black Mesa,,,,"Black Mesa Source, Black Mesa: Source",Black Mesa (video game),https://en.wikipedia.org/wiki/Black_Mesa_(video_game)
http://www.wikidata.org/entity/Q211096,Call of Duty,,,,COD,Call of Duty (video game),https://en.wikipedia.org/wiki/Call_of_Duty_(video_game)
http://www.wikidata.org/entity/Q211735,Assassin's Creed II,,,,"AC2, Assassin's Creed 2",Assassin's Creed II,https://en.wikipedia.org/wiki/Assassin%27s_Creed_II
http://www.wikidata.org/entity/Q74683,Lego Indiana Jones 2: The Adventure Continues,,,,,Lego Indiana Jones 2: The Adventure Continues,https://en.wikipedia.org/wiki/Lego_Indiana_Jones_2:_The_Adventure_Continues
http://www.wikidata.org/entity/Q74630,Lego Indiana Jones: The Original Adventures,,,,,Lego Indiana Jones: The Original Adventures,https://en.wikipedia.org/wiki/Lego_Indiana_Jones:_The_Original_Adventures
http://www.wikidata.org/entity/Q74061,Star Wars: Rebel Assault II: The Hidden Empire,,,,,Star Wars: Rebel Assault II: The Hidden Empire,https://en.wikipedia.org/wiki/Star_Wars:_Rebel_Assault_II:_The_Hidden_Empire
http://www.wikidata.org/entity/Q74669,Star Wars: Knights of the Old Republic II – The Sith Lords,,,,"Knights of the Old Republic II, KotOR II, Star Wars: Knights of the Old Republic II - The Sith Lords, The Sith Lords",Star Wars Knights of the Old Republic II: The Sith Lords,https://en.wikipedia.org/wiki/Star_Wars_Knights_of_the_Old_Republic_II:_The_Sith_Lords
http://www.wikidata.org/entity/Q153070,Fortress,,,,,Fortress (cancelled video game),https://en.wikipedia.org/wiki/Fortress_(cancelled_video_game)
http://www.wikidata.org/entity/Q161188,007: Nightfire,,,,007 Nightfire,James Bond 007: Nightfire,https://en.wikipedia.org/wiki/James_Bond_007:_Nightfire
http://www.wikidata.org/entity/Q150180,Fire Emblem,,,,"Fire Emblem 7, Fire Emblem: The Blazing Blade, Fire Emblem: The Sword of Flame, The Blazing Blade, The Sword of Flame",Fire Emblem (video game),https://en.wikipedia.org/wiki/Fire_Emblem_(video_game)
http://www.wikidata.org/entity/Q150294,Mortal Kombat,,,,,Mortal Kombat (1992 video game),https://en.wikipedia.org/wiki/Mortal_Kombat_(1992_video_game)
http://www.wikidata.org/entity/Q150169,Fire Emblem: The Sacred Stones,,,,Fire Emblem: Shining Stones of Holiness and Evil,Fire Emblem: The Sacred Stones,https://en.wikipedia.org/wiki/Fire_Emblem:_The_Sacred_Stones
http://www.wikidata.org/entity/Q151531,Sonic Chaos,,,,"Sonic the Hedgehog Chaos, Sonic the Hedgehog: Chaos, Sonic & Tales, Sonic: Chaos",Sonic Chaos,https://en.wikipedia.org/wiki/Sonic_Chaos
http://www.wikidata.org/entity/Q151614,Sonic Colors,,,,"SC, Sonic Colours",Sonic Colors,https://en.wikipedia.org/wiki/Sonic_Colors
http://www.wikidata.org/entity/Q151512,Sonic Triple Trouble,,,,"Sonic & Tales 2, Sonic: Triple Trouble, Sonic the Hedgehog Triple Trouble",Sonic Triple Trouble,https://en.wikipedia.org/wiki/Sonic_Triple_Trouble
http://www.wikidata.org/entity/Q133427,State of Decay,,,,,State of Decay (video game),https://en.wikipedia.org/wiki/State_of_Decay_(video_game)
http://www.wikidata.org/entity/Q129401,Digimon Story Lost Evolution,,,,,Digimon Story Lost Evolution,https://en.wikipedia.org/wiki/Digimon_Story_Lost_Evolution
http://www.wikidata.org/entity/Q131007,World of Warcraft,,,,WoW,World of Warcraft,https://en.wikipedia.org/wiki/World_of_Warcraft
http://www.wikidata.org/entity/Q213911,The Legend of Zelda: Ocarina of Time,,,,"Ocarina of Time, TloZ: OoT, Zelda 64, Zelda: Ocarina of Time",The Legend of Zelda: Ocarina of Time,https://en.wikipedia.org/wiki/The_Legend_of_Zelda:_Ocarina_of_Time
